"type","index1","index2","sname1","sname2","sname","lname","auto_ind_cnt","zoo_ind_cnt","auto_ind.1.","zoo_ind.1.","z_umax_0_per_day","grazing_function","z_grz","graze_doc","graze_poc","f_zoo_detr","graze_zoo"
"grazing",1,1,"diaz","zoo1","grz_diaz_zoo1","Grazing of diaz by zoo1",1,0,1,NA,3.42478842441458,1,1.1,0.069123195111426,0.0735072195542959,0.0716308327313036,0.3
"grazing",2,1,"pp","zoo1","grz_pp_zoo1","Grazing of pp by zoo1",1,0,2,NA,1.8946553666394,1,1.1,0.069123195111426,0,0.0716308327313036,0.3
"grazing",3,1,"mp1","zoo1","grz_mp1_zoo1","Grazing of mp1 by zoo1",1,0,3,NA,3.05949069817112,1,1.1,0.069123195111426,0.0735072195542959,0.0716308327313036,0.3
"grazing",4,1,"mp2","zoo1","grz_mp2_zoo1","Grazing of mp2 by zoo1",1,0,4,NA,1.83648351368513,1,1.1,0.069123195111426,0.0735072195542959,0.0716308327313036,0.3
"grazing",5,1,"diat1","zoo1","grz_diat1_zoo1","Grazing of diat1 by zoo1",1,0,7,NA,0.147033565488822,1,1.1,0.069123195111426,0.0882086634651551,0.0716308327313036,0.3
"grazing",6,1,"null","null","null","null",0,0,NA,NA,0,1,0,0,0,0,0
"grazing",7,1,"null","null","null","null",0,0,NA,NA,0,1,0,0,0,0,0
"grazing",8,1,"null","null","null","null",0,0,NA,NA,0,1,0,0,0,0,0
"grazing",1,2,"diaz","zoo2","grz_diaz_zoo2","Grazing of diaz by zoo2",1,0,1,NA,0.178561515680923,1,1.1,0.0615419752406882,0.103832099037247,0.0803712172650917,0.3
"grazing",2,2,"mp1","zoo2","grz_mp1_zoo2","Grazing of mp1 by zoo2",1,0,3,NA,9.29538715006395e-08,1,1.1,0.0615419752406882,0.103832099037247,0.0803712172650917,0.3
"grazing",3,2,"mp2","zoo2","grz_mp2_zoo2","Grazing of mp2 by zoo2",1,0,4,NA,6.09625592542785,1,1.1,0.0615419752406882,0.103832099037247,0.0803712172650917,0.3
"grazing",4,2,"mp3","zoo2","grz_mp3_zoo2","Grazing of mp3 by zoo2",1,0,5,NA,0.681991789987127,1,1.1,0.0615419752406882,0.103832099037247,0.0803712172650917,0.3
"grazing",5,2,"diat1","zoo2","grz_diat1_zoo2","Grazing of diat1 by zoo2",1,0,7,NA,0.323502891577717,1,1.1,0.0615419752406882,0.124598518844696,0.0803712172650917,0.3
